order_id,line_num,sku,cantidad,precio_unitario,promo_codigo,metodo_pago,cancelado_flag
A000003,1,SKU0003,3,56.92,NA,Tarjeta,0
A000003,2,SKU0003,3,60.75,APP10,Wallet,0
A000002,1,SKU0007,1,32.53,NA,Wallet,0
A000002,2,SKU0001,3,58.87,NA,Tarjeta,0
A000002,3,SKU0003,2,54.78,DULCE15,Tarjeta,0
A000001,1,SKU0005,3,70.44,NA,Wallet,0
A000001,2,SKU0008,2,48.04,NA,Tarjeta,0
A000001,3,SKU0010,2,122.19,APP10,Tarjeta,0
A000003,1,SKU0006,1,36.24,NA,Wallet,0
A000012,1,SKU0008,3,52.44,NA,Wallet,0
A000012,2,SKU0005,2,71.11,NA,Wallet,0
A000012,3,SKU0010,1,127.2,NA,Tarjeta,0
A000004,1,SKU0006,3,35.42,NA,Wallet,0
A000010,1,SKU0001,3,56.83,2X1FRIO,Wallet,0
A000010,2,SKU0008,2,48.63,NA,Tarjeta,0
A000010,3,SKU0009,2,46.25,NA,Wallet,0
A000007,1,SKU0010,3,109.83,DULCE15,Tarjeta,0
A000007,2,SKU0008,3,52.11,DULCE15,Tarjeta,0
A000001,1,SKU0007,3,36.11,NA,Tarjeta,0
A000001,2,SKU0001,3,53.7,NA,Tarjeta,1
A000001,3,SKU0007,1,36.74,NA,Tarjeta,0
A000002,1,SKU0009,1,52.25,2X1FRIO,Wallet,0
A000005,1,SKU0009,3,49.79,NA,Wallet,0
A000008,1,SKU0007,3,33.75,APP10,Tarjeta,0
A000008,2,SKU0001,1,60.68,APP10,Wallet,0
A000006,1,SKU0001,3,48.96,NA,Wallet,0
A000006,2,SKU0001,2,52.84,APP10,Tarjeta,0
A000006,3,SKU0003,3,56.19,2X1FRIO,Tarjeta,0
A000009,1,SKU0007,2,37.34,NA,Tarjeta,0
A000009,2,SKU0003,3,61.85,APP10,Tarjeta,0
A000011,1,SKU0007,3,34.95,NA,Wallet,0
A000011,2,SKU0005,2,65.67,NA,Tarjeta,0
