order_id,fecha,cliente_id,sucursal_id,canal
A000003,2022-09-28,C000010,S005,APP
A000002,2022-10-10,C000007,S001,APP
A000001,2022-10-28,C000006,S003,APP
A000003,2023-02-05,C000007,S002,APP
A000012,2023-04-15,C000007,S001,APP
A000004,2023-04-24,C000002,S004,APP
A000010,2023-05-22,C000008,S001,APP
A000007,2023-06-08,C000009,S003,APP
A000001,2023-08-18,C000003,S003,APP
A000002,2023-09-12,C000007,S004,APP
A000005,2023-10-07,C000009,S003,APP
A000008,2023-10-20,C000001,S003,APP
A000006,2023-10-30,C000002,S003,APP
A000009,2023-11-03,C000008,S001,APP
A000011,2023-11-23,C000008,S002,APP
