producto_key,sku,nombre,categoria,subcategoria,tamano,activo
1,SKU0001,Americano,Bebidas Calientes,Americano,M,1
2,SKU0002,Latte,Bebidas Calientes,Latte,G,1
3,SKU0003,Capuccino,Bebidas Calientes,Capuccino,M,1
4,SKU0004,Cold Brew,Bebidas Frías,Cold Brew,M,1
5,SKU0005,Frappé Vainilla,Bebidas Frías,Frappé,G,1
6,SKU0006,Croissant,Panadería,Croissant,,1
7,SKU0007,Muffin,Panadería,Muffin,,1
8,SKU0008,Cheesecake,Postres,Cheesecake,,1
9,SKU0009,Brownie,Postres,Brownie,,1
10,SKU0010,Termo,Accesorios,Termo,,1
