tiempo_key,fecha,anio,mes,trimestre,semana_iso,dia_semana,es_fin_semana
1,2022-07-11,2022,7,3,28,1,0
2,2022-07-12,2022,7,3,28,2,0
3,2022-07-13,2022,7,3,28,3,0
4,2022-07-14,2022,7,3,28,4,0
5,2022-07-15,2022,7,3,28,5,0
6,2022-07-16,2022,7,3,28,6,1
7,2022-07-17,2022,7,3,28,7,1
8,2022-07-18,2022,7,3,29,1,0
9,2022-07-19,2022,7,3,29,2,0
10,2022-07-20,2022,7,3,29,3,0
11,2022-07-21,2022,7,3,29,4,0
12,2022-07-22,2022,7,3,29,5,0
13,2022-07-23,2022,7,3,29,6,1
14,2022-07-24,2022,7,3,29,7,1
15,2022-07-25,2022,7,3,30,1,0
16,2022-07-26,2022,7,3,30,2,0
17,2022-07-27,2022,7,3,30,3,0
18,2022-07-28,2022,7,3,30,4,0
19,2022-07-29,2022,7,3,30,5,0
20,2022-07-30,2022,7,3,30,6,1
21,2022-07-31,2022,7,3,30,7,1
22,2022-08-01,2022,8,3,31,1,0
23,2022-08-02,2022,8,3,31,2,0
24,2022-08-03,2022,8,3,31,3,0
25,2022-08-04,2022,8,3,31,4,0
26,2022-08-05,2022,8,3,31,5,0
27,2022-08-06,2022,8,3,31,6,1
28,2022-08-07,2022,8,3,31,7,1
29,2022-08-08,2022,8,3,32,1,0
30,2022-08-09,2022,8,3,32,2,0
31,2022-08-10,2022,8,3,32,3,0
32,2022-08-11,2022,8,3,32,4,0
33,2022-08-12,2022,8,3,32,5,0
34,2022-08-13,2022,8,3,32,6,1
35,2022-08-14,2022,8,3,32,7,1
36,2022-08-15,2022,8,3,33,1,0
37,2022-08-16,2022,8,3,33,2,0
38,2022-08-17,2022,8,3,33,3,0
39,2022-08-18,2022,8,3,33,4,0
40,2022-08-19,2022,8,3,33,5,0
41,2022-08-20,2022,8,3,33,6,1
42,2022-08-21,2022,8,3,33,7,1
43,2022-08-22,2022,8,3,34,1,0
44,2022-08-23,2022,8,3,34,2,0
45,2022-08-24,2022,8,3,34,3,0
46,2022-08-25,2022,8,3,34,4,0
47,2022-08-26,2022,8,3,34,5,0
48,2022-08-27,2022,8,3,34,6,1
49,2022-08-28,2022,8,3,34,7,1
50,2022-08-29,2022,8,3,35,1,0
51,2022-08-30,2022,8,3,35,2,0
52,2022-08-31,2022,8,3,35,3,0
53,2022-09-01,2022,9,3,35,4,0
54,2022-09-02,2022,9,3,35,5,0
55,2022-09-03,2022,9,3,35,6,1
56,2022-09-04,2022,9,3,35,7,1
57,2022-09-05,2022,9,3,36,1,0
58,2022-09-06,2022,9,3,36,2,0
59,2022-09-07,2022,9,3,36,3,0
60,2022-09-08,2022,9,3,36,4,0
61,2022-09-09,2022,9,3,36,5,0
62,2022-09-10,2022,9,3,36,6,1
63,2022-09-11,2022,9,3,36,7,1
64,2022-09-12,2022,9,3,37,1,0
65,2022-09-13,2022,9,3,37,2,0
66,2022-09-14,2022,9,3,37,3,0
67,2022-09-15,2022,9,3,37,4,0
68,2022-09-16,2022,9,3,37,5,0
69,2022-09-17,2022,9,3,37,6,1
70,2022-09-18,2022,9,3,37,7,1
71,2022-09-19,2022,9,3,38,1,0
72,2022-09-20,2022,9,3,38,2,0
73,2022-09-21,2022,9,3,38,3,0
74,2022-09-22,2022,9,3,38,4,0
75,2022-09-23,2022,9,3,38,5,0
76,2022-09-24,2022,9,3,38,6,1
77,2022-09-25,2022,9,3,38,7,1
78,2022-09-26,2022,9,3,39,1,0
79,2022-09-27,2022,9,3,39,2,0
80,2022-09-28,2022,9,3,39,3,0
81,2022-09-29,2022,9,3,39,4,0
82,2022-09-30,2022,9,3,39,5,0
83,2022-10-01,2022,10,4,39,6,1
84,2022-10-02,2022,10,4,39,7,1
85,2022-10-03,2022,10,4,40,1,0
86,2022-10-04,2022,10,4,40,2,0
87,2022-10-05,2022,10,4,40,3,0
88,2022-10-06,2022,10,4,40,4,0
89,2022-10-07,2022,10,4,40,5,0
90,2022-10-08,2022,10,4,40,6,1
91,2022-10-09,2022,10,4,40,7,1
92,2022-10-10,2022,10,4,41,1,0
93,2022-10-11,2022,10,4,41,2,0
94,2022-10-12,2022,10,4,41,3,0
95,2022-10-13,2022,10,4,41,4,0
96,2022-10-14,2022,10,4,41,5,0
97,2022-10-15,2022,10,4,41,6,1
98,2022-10-16,2022,10,4,41,7,1
99,2022-10-17,2022,10,4,42,1,0
