order_id,line_num,tiempo_key,cliente_key,sucursal_key,producto_key,canal_key,metodo_pago_key,promocion_key,cantidad,precio_unitario,importe_bruto,descuento_importe,importe_neto,cancelado_flag,cupon_aplicado_flag
P000007,1,245,8,1,7,1,2,3,2,31.47,62.94,0.0,62.94,0,1
P000007,2,245,8,1,7,1,2,1,1,36.67,36.67,0.0,36.67,0,0
P000001,1,528,1,2,3,1,1,1,3,51.26,153.78,0.0,153.78,0,0
P000001,2,528,1,2,5,1,2,1,3,78.11,234.32999999999998,0.0,234.32999999999998,0,0
P000010,1,356,5,4,5,1,1,1,3,72.02,216.06,0.0,216.06,0,0
P000010,2,356,5,4,5,1,1,1,3,72.89,218.67000000000002,0.0,218.67000000000002,0,0
P000009,1,344,10,1,5,1,2,1,1,73.1,73.1,0.0,73.1,0,0
P000009,2,344,10,1,5,1,3,5,2,69.05,138.1,0.0,138.1,0,1
P000005,1,458,7,3,3,1,2,3,3,53.82,161.46,0.0,161.46,0,1
P000005,2,458,7,3,8,1,1,1,1,48.98,48.98,0.0,48.98,0,0
P000004,1,421,8,1,9,1,2,4,2,48.22,96.44,0.0,96.44,0,1
P000011,1,1,7,1,5,1,1,1,2,82.21,164.42,0.0,164.42,0,0
P000011,2,1,7,1,4,1,1,1,3,81.12,243.36,0.0,243.36,0,0
P000003,1,500,2,2,2,1,2,4,2,52.89,105.78,0.0,105.78,0,1
P000008,1,307,4,3,6,1,2,1,1,31.91,31.91,0.0,31.91,0,0
P000008,2,307,4,3,3,1,2,4,1,64.62,64.62,0.0,64.62,0,1
P000015,1,71,5,1,9,1,1,1,3,48.75,146.25,0.0,146.25,0,0
P000015,2,71,5,1,3,1,2,1,1,55.52,55.52,0.0,55.52,0,0
P000013,1,77,9,4,7,1,2,3,1,35.59,35.59,0.0,35.59,0,1
P000013,2,77,9,4,2,1,2,1,2,51.09,102.18,0.0,102.18,0,0
P000014,1,87,6,2,4,1,1,5,3,70.94,212.82,0.0,212.82,0,1
P000014,2,87,6,2,9,1,1,1,3,48.04,144.12,0.0,144.12,0,0
P000014,3,87,6,2,5,1,2,4,1,69.25,69.25,0.0,69.25,0,1
P000002,1,337,6,5,9,1,2,3,1,53.92,53.92,0.0,53.92,0,1
P000006,1,451,10,4,9,1,1,4,3,50.55,151.64999999999998,0.0,151.64999999999998,0,1
P000006,2,451,10,4,1,1,1,1,3,60.69,182.07,0.0,182.07,0,0
P000012,1,165,5,4,9,1,2,5,1,51.93,51.93,0.0,51.93,0,1
P000012,2,165,5,4,1,1,1,1,1,56.11,56.11,0.0,56.11,0,0
P000012,3,165,5,4,2,1,2,1,3,54.84,164.52,0.0,164.52,0,0
